ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
294,Pamela owns 27 (11/12) yards of fabric. She uses 10 (2/3) yards to sew a dress. How many yards of fabric does she have remaining after sewing the dress?,B, 17 (1/6) , 17 (1/4) ,18, 38 (7/12) ,"Calculated 27 - 10 + 11/12 - 8/12, but then did 11/12 - 8/12 = 2/12 to result in 17 1/6",27 11/2 - 10 2/3 = 27 - 10 + 11/12 - 8/12 = 17 3/12 = 17 1/4,Calculated 27 - 10 + (11 - 2)/(12 - 3) = 17 + 9/9 = 18,Calculated 27 + 10 + 11/12 + 2/3 = 37 + 11/12 + 8/12 = 37 + 19/12 = 38 7/12
295,"A pattern is presented. 23, 19, 15, 11, _, _. What are the two numbers that fills the last 2 blank spots?",A,"7, 3","7, 4","8, 4","9, 7","Pattern of ""n - 4 "". 11 - 4 = 7; 7 - 4 = 3",Uses amount of decrease for last term.,Incorrectly subtracts 11 - 4 to get 8.,Next odd numbers after 11.
296,"A pattern is presented. 4, 26, 28, 40, _. What is the number that fills the next blank spot?",B,44,52,68,160,Chose the 4th term (40) + 1st term (4) = 44.,"Pattern is ""add 12.""; 40 + 12 = 52",Chose the 4th term (40) + 3rd term (28) = 68.,Chose the 1st term (4) * 4 = 2nd term; (16); 4th term (40) * 4 = 160.
297,"Emily is tracking the fuel left in her spaceship during a space journey. Her fuel monitor shows the following readings: 1 hour - 72 gallons, 2 hours - 63 gallons, 3 hours - 54 gallons, 4 hours - 45 gallons, 5 hours - 36 gallons, 6 hours - 27 gallons. What is the rule for the pattern?",C,Subtract 7.,Subtract 8.,Subtract 9.,Subtract 11.,Miscalculated difference between numbers.,Miscalculated difference between numbers.,Calculated the pattern as subtract 9 between each value.,Subtracted the lesser digit from the greater digit in each place value column without regard to position.
298,"For the equation 2n + 4 = 16, which value of n makes the equation correct?",B,2,6,8,10,Divided each side by 4.,2 * 6 + 4 = 12 + 4 = 16,Disregarded the 4 on the left side of the equation.,Calculated 2 + 10 + 4 = 16.
299,The area of the base of a rectangular prism is A square inches. The prism has a height of h inches. The height is increased by x inches. Which describes how to find the volume of the taller prism?,A,Add x to h and multiply by A .,Add x to A and multiply by h.,Divide A by x and multiply by h .,Divide S by h and multiply by x .,Correct.,Increased the incorrect dimension.,Chose an incorrect operation.,Chose an incorrect operation.
300,What is the value of 315 ÷ 42 ?,C,7.2,7.21,7.5,75,"Divided 42 into 315 correctly in ones place, but then divided remaining 21 into 42 to get incorrect tenths value.",Divided 42 into 315 and used the remaining 21 as the decimal part of the answer.,"Divided 42 into 315 (315/42 = 7), then divided the remaining 21 by 42 (21/42 = 0.5). Correctly placed the decimal point after 7.",Divided and forgot decimal point.
301,Divide 535 ÷ 25.,C,2.35,21.1,21.4,214,"50/25 = 2; uses ""35"" for value after decimal point.",535/25 = 21 R10; uses remainder for value after decimal point.,535/25 = 21.4,Did not consider the placement of the decimal point.
302,A division problem is shown. 535 ÷ 25. What decimal value will you get as the remainder?,B,0.1,0.125,0.18,0.25,Remainder of 145/8 is 1.,145/8 = 18 R1; 1/8 = 0.125,Uses values from 1/8 to write decimal.,Thinks 1/8 = 0.25.
303,An artist is creating a rectangular mosaic that is 10 feet wide and 20 feet long. She places tiles 2 feet apart. How many tiles does the artist place around her mosaic?,C,15,26,30,34,Calculated (10 + 20)/2 = 15.,Subtracted 4 posts for the corners.,2*(10 + 20)/2 = 30,Added 4 posts for the corners.
304,"A baker purchases 13 packets of yeast, each containing 12 sachets. He uses an equal number of sachets to bake breads for 3 separate events. After baking, he has 6 sachets of yeast left. How many sachets of yeast does the baker use for each event?",B,46,50,52,54,Calculated 13 * 12 = 156; 156/3 = 52; 52 - 6 = 46.,13 * 12 = 156; 156 - 6 = 150; 150/3 = 50.,Calculated 13 * 12 = 156; 156/3 = 52; did not consider the remaining tiles.,Calculated 13 * 12 + 6 = 162; 162/6 = 54.
305,A photographer takes the same picture using 2 different cameras. Camera 1 captures the picture in 0.556 seconds. Camera 2 captures the picture in 0.546 seconds. Which statement describes the difference between the 2 capture times?,C,Camera 1 capture the picture in 0.01 second less than camera 2.,Camera 1 captures the picture in 0.1 second less than camera 2.,Camera 2 captures the picture in 0.01 second less than camera 1.,Camera 2 captures the picture in 0.1 second less than camera 1.,Identified the camera with the greater value.,Identified the camera with the greater value and made a calculation error with the tenths place.,0.556 - 0.546 = 0.01,Made a calculation error with the tenths place.
306,"Last week, a suitcase was 25.75 pounds. This week, it's 0.01 pound lighter. What is the current weight of the suitcase?",D,24.75 pounds,25.65 pounds,25.7 pounds,25.74 pounds,Calculated 25.75 - 1 = 24.75.,Calculated 25.75 - 0.1 = 25.65.,Deleted the digit in the hundredths place.,25.75 - 0.01 = 25.74
307,A referee records the number of goals attempted and the number of goals made by each soccer team at a tournament. Which type of graph would be best to show the data?,A,Double bar graph,Double line graph,Pictograph,Venn diagram,A double bar graph is used to display two sets (number of shots attempted and number of shots made) of data on the same graph.,A double line graph is not as good of a visualization for categorical data. (team names),A pictograph is generally not used to compare 2 sets of data.,A Venn Diagram is generally not used to compare 2 sets of data.
308,Calculate 5/8 - 1/3.,B, 4/24 , 7/24 , 3/8 , 4/5 ,Did not convert numerators.,15/24-8/24 = 7/24,Calculated 1-5/8 = 3/8,Subtracted numerators and denominators.
309,Divide 532 ÷ 16.,C,33,33.04,33.25,33.4,Did not consider the remainder.,Uses remainder for the decimal.,532/16 = 33 r4 = 33.25,Uses remainder for the decimal.
310,What is the total count of digits in the number two hundred five thousand and twelve ten-thousandths?,B,4,10,11,12,Counted 4 non-zero digits in the number.,"Identified 10 digits in the number 205,000.0012.",Added extra digits.,Added extra digits.
311,Which expression is the same as (12 + 8) × 5?,D, 12 + 8 × 5 , 12 × ( 8 + 5 ) , ( 12 + 5 )( 8 + 5 ) , 12 × 5 + 8 × 5 ,Calculated 12 + 8 * 5 = 52;(12 + 8) * 5 = 100.,Switched operations and moved parentheses.,Did not apply the distributive property correctly.,Used the distributive property.
312,A number sentence is provided. 27 − 15 ÷ 1 + 4 × 2. Calculate the value of the number sentence,B,4,20,32,48,Calculated 27 - (15/1 + 4 * 2) = 27 - 15 - 8 = 27 - 23 = 4.,27 - 15 + 4 * 2 = 12 + 8 = 20,Calculated (27 - 15/1 + 4) * 2 = (12 + 4) * 2 = 16 * 2 = 32.,Calculated (27 - 15/(1 + 4)) * 2 = (27 - 3) * 2 = 24 * 2 = 48.
313,"For f = 12 and g = 8, calculate the value of 3f/4 - g/2?",C,0,1,5,10,Calculated 3 * 8/4 - 12/2 = 24/4 - 6 = 6 - 6 = 0.,Calculated 3 * 12/4 - 8 = 36/4 - 8 = 9 - 8 = 1.,3 * 12/4 - 8/2 = 9 - 4 = 5,Calculated (3 * 12 - 2 * 8)/2 = (36 - 16)/2 = 20/2 = 10.
314,"For s = 1 and t = 4, calculate the value of 3st − s?",B,8,11,12,35,Swapped 1 and 4. 3 * 4 * 1 - 4 = 12 - 4 = 8,3(1)(4) - (1) = 12 - 1 = 11,Calculated 3 * 1 * 4 * 1 = 12.,Multiplied both variables by 3. 3 * 1 * 3 * 4 - 1
315,"Consider the equation 3p + 2q = 50. If p is 4, what would be the value of q?",B,14,19,31,76,Calculated 50 - 4 * 2 = 50 - 8 = 42; 42/3 = 14.,50 - 3 * 4 = 50 - 12 = 38; 38/2 = 19,Calculated 50 + 3 * 4 = 62; 62/2 = 31.,Calculated 50 - 3 * 4 = 38; 38 * 2 = 76.
316,"Consider the equation k = 3m - 9. If p is 4, what would be the value of q?",B,5,11,63,99,Calculated 24 - 9 = 15; 15/3 = 5.,24 + 9 = 33; 33/3 = 11,Calculated 24 * 3 - 9 = 72 - 9 = 63.,Calculated (24 + 9) * 3 = 33 * 3 = 99.
317,"A parallelogram is made of 2 congruent triangular sections. The parallelogram has a height of 24 cm, and base length of 36 cm. What is the area of 1 of the triangles?",B, 216 cm^2 , 432 cm^2 , 864 cm^2 ," 1,728 cm^2 ",Calculated (1/2 * 24) * (1/2 * 36) = 216.,1/2 * 24 * 36 = 432,Calculated 24 * 36 = 864.,Calculated 2 * 24 * 36 = 1728.
318,"A farmer has 567 apples to distribute to his farm animals. If he gives 9 apples to each animal, how many animals will receive apples?",D,60,61,62,63,Did not regroup the remainder from the long division to the units place.  60 r7,Did not regroup the remainder from the long division to the units place and rounded up to the next whole number. 60 r7,Regrouped the remainder (2) from 56/9 up into the quotient. 60 + 2,
319,Which two numbers are both 0.01 differ from 117.325?,C,116.325 and 118.325,117.324 and 117.326,117.315 and 117.335,117.335 and 117.345,Chose values with a change in the ones place (±1).,Chose values with a change in thousandths place (±0.001).,"117.325 + 0.01 = 117.335, 117.325 - 0.01 = 117.315.",Chose values that differ by 0.01 when compared to each other but not to the given value.
320,Ms. Sanders purchases art supplies for a total of $136.06. She uses three discounts of $0.10 each. What is the final cost of Ms. Sanders' art supplies after applying the discounts?,C,$106.06 ,$133.06 ,$135.76 ,$136.03 ,Reversed 0.10 and 10.,Reversed 0.10 and 1.,135.06 - 0.10 - 0.10 - 0.10 = 135.76,Reversed 0.10 and 0.01.
321,Which fraction is equivalent the number 8.6?,C, 24/3 , 8 (1/6) , 43/5 , 8 (6/6) ,Did not include the 0.6.,Interpreted 0.6 as 1/6.,8.6 = 8 6/10 = 80/10 + 6/10 = 86/10 = 43/10,Used the 6 as both the numerator and denominator of the fraction part.
322,A bartender has 580 ounces of a particular cocktail mix. He pours the mix into as many 32-ounce glasses as he can. What fraction of a 32-ounce glass if left over?,C, 4/580 , 32/580 , 4/32 , 18/32 ,Used the remainder as the numerator and the total number of ounces as the denominator.,Used the number of ounces in each bottle as the numerator and the total number of ounces as the denominator.,580 ÷ 32 = 18 r4,Used the number of full bottles as the numerator and the number of ounces in each bottle as the denominator.
323,What is the equivalent improper fraction for 5 (3/5)?,C, 5/28 , 25/5 , 28/5 , 53/5 ,Switched the numerator and denominator of the correct fraction.,Wrote just the whole number as an improper fraction.,5 3/5 = 25/5 + 3/5 = 28/5,Used the whole number in the tens place of the numerator.
324,A bottle of soda has a volume of 1.74 liters. Can you write 1.74 in a different way?,A,1 + 7 tenths + 4 hundredths,1 + 74 thousandths,174 tenths,174 thousandths,"Identified ones, tenths and thousandths place.",Interpreted hundredths for thousandths.,Interpreted hundredths for tenths.,Interpreted hundredths for thousandths.
325,A mathematical expression is presented. 16 - 10 ÷ 5 × 7 + 9. Which mathematical operation should be performed first for simplification?,C, 5 × 7 , 7 + 9 , 10 ÷ 5 , 16 − 10 ,Chose multiplication before division.,Chose last operation in the expression.,Chose division operation from left to right.,Chose the first operation from left to right.
326,Subtract the value of 11/6 - 7/12.,D, 4/12 , 4/6 , 10/12 , 15/12 ,Created a common denominator and subtracted given numerators.,Subtracted lesser value from greater value in numerator and denominator.,Added 6 to both numerator and denominator. 17/12-7/12,
327,A chef needs 6 eggs to bake a cake. She has 27 eggs and decides to bake as many cakes as she can. How many eggs will the chef have left?,B,1,3,4,5,"Used 26, instead of 24, as a multiple of 6.",27 ÷ 6 = 4 r3,Used the quotient without remainder or decimal.,Rounded up because of the remainder.
328,Max recorded the number of cats he saw each day. 12  7  9  11  7  12  23  14  16  14  16  18  13  19. What is the range of the data?,D,7,11,12,16,Calculated the difference between the first and last numbers in the list. 19 - 12 = 7,Did not use the minimum. 23 - 12 = 11,Did not use the maximum. 19 - 7 = 12,23 - 7 = 16
329,Barry has 3 fishing rods for his trip. He needs to arrange them from lightest to heaviest. Which choice shows the weights in order from lightest to heaviest?,B, 63 (3/4) < 63 (5/8) < 62 (7/12) , 62 (7/12) < 63 (5/8) < 63 (3/4) , 62 (7/12) < 63 (3/4) < 63 (5/8) , 63 (5/8) < 63 (3/4) < 62 (7/12) ,Put the numerators and denominators in order from least to greatest.,Mixed numbers are in the correct order.,Ordered the whole numbers then ordered the remaining fractions based on numerators and denominators.,Ordered first 2 mixed numbers correctly then ended with greatest numerator and denominator.
330,"Alex needs three pieces of rope, 45.25 cm, 56.25 cm, and 23 cm, to set up his climbing course. Which length of rope should he purchase to have the least amount remaining after cutting these three pieces?",C,120 cm,124 cm,130 cm,135 cm,Added 45.25 + 56.25 + 23 = 124.5 and rounded to the nearest ten.,Rounded to the nearest whole number and added: 45 + 56 + 23 = 124,Added 45.25 + 56.25 + 23 = 124.5 and 130 cm is the smallest length greater than 124.5 cm.,"Rounded 45.25 and 56.25 to nearest ten, and 23 to nearest five, then added. 50 + 60 + 25 = 135"
331,"John requires 1 (1/2) liters of paint for a wall, 2 (1/3) liters for a fence, and 3/4 liters for a bench. What is the minimum quantity of paint he needs for all his tasks?",B,4 liters,5 liters,6 liters,7 liters,Incorrectly rounded to 1 + 2 + 1 = 4.,"Rounded to 2 + 2 + 1 = 5 OR added 1 1/2 + 2 1/3 + 3/4 = 4 7/12, then rounded up to 5.",Incorrectly rounded up to 2 + 3 + 1 = 6.,Overestimated to largest amount.
332,What is the prime factorization of the number 140?,C, 2 × 5 × 7 , 2 × 5 × 27 , 2 × 2 × 5 × 7 , 4 × 35 ,Represented only 1 factor of 2.,Represented the factors of 2 and 7 as 27.,Represented 140 = 4 x 35 = 2 x 2 x 5 x 7.,Did not use prime factors of 140.
333,Jake has a journey of 345 miles to complete. He has already travelled 138 miles. What percentage of the journey has he completed so far?,C,13.80%,40%,60%,86.20%,Used the miles travelled (138) divided by 10 as a percent.,Chose percent left to travel. 138/345 = 40%,345 - 138 = 207; 207/345 = 60%,Calculated 100 - 13.8 = 86.2 as a percent.
334,What is the prime factorization of the number 72?,C, 2 × 2 × 2 × 2 × 3 × 3 , 2 × 2 × 2 × 2 × 3 × 3 × 3 , 2 × 2 × 2 × 3 × 3 , 2 × 2 × 3 × 3 × 3 ,Included an extra 2.,"Included the number of 2s that equal the factor 8 when added together, and the number of 3s that make the factor 9 when added together.",Represented 72 = 8 x 9 = 2 x 2 x 2 x 3 x 3,Switched the number of times to list each factor.
335,A mathematical expression is presented. 6 ÷ 3 × 4 − 2 (7 + 9) + 5. Which mathematical operation should be performed first for simplification?,C, 3 × 4 , 4 − 2 , 7 + 9 , 9 + 5 ,Chose the first multiplication left to right.,Chose subtraction.,Chose the parentheses as first operation to complete.,Chose addition.
336,For the following inequality: 0.007 > _. What value makes the inequality correct?,B,0.06,0.006,0.08,0.008,Chose a greater value. 0.06 > 0.007 ,Chose a lesser value. 0.007 > 0.006,Chose a greater value. 0.08 > 0.007,Chose a greater value. 0.008 > 0.007
